23714.dat                      Animal Ant
6569p02.dat                    Figure Friends Baby Head with Lime Cap, Dark Orange Eyes and Smirk Pattern
6569p03.dat                    Figure Friends Baby Head with White Cap, Bright Light Blue Eyes and Surprised Round Mouth Pattern
93092.dat                      Figure Friends Basket
92198p10.dat                   Figure Friends Boy Head with Open Mouth and Brown Eyes Pattern
92198p09.dat                   Figure Friends Boy Head with Open Mouth and Light Blue Eyes Pattern
11391.dat                      Figure Friends Boy Torso
73161.dat                      Figure Friends Boy Torso Dual Mould with Arms
1006334.dat                    Figure Friends Boy Torso Dual Mould without Pattern
11408.dat                      Figure Friends Boy Torso with Arms
73161p01.dat                   Figure Friends Boy Torso with Arms and Dark Azure Hoodie with Coral Short Sleeves Pattern
11408p02.dat                   Figure Friends Boy Torso with Arms with Bright Green Polo Shirt Pattern
11408p01.dat                   Figure Friends Boy Torso with Arms with Bright Light Blue Polo Shirt with Dark Blue Sailboat Pattern
11408p03.dat                   Figure Friends Boy Torso with Arms with Lime Vest over Bronze Diamond Shirt Pattern
11391p02.dat                   Figure Friends Boy Torso with Bright Green Polo Shirt Pattern
11391p01.dat                   Figure Friends Boy Torso with Bright Light Blue Polo Shirt with Dark Blue Sailboat Pattern
1006334p01.dat                 Figure Friends Boy Torso with Coral and Dark Azure Hoodie with Coral and Yellow Squares Pattern
11391p03.dat                   Figure Friends Boy Torso with Lime Vest over Bronze Diamond Shirt Pattern
73161p02.dat                   Figure Friends Boy Torso with Sand Blue Jacket and Sleeve Arms with Tan Lapels over Blue and White Shirt Pattern
1006334p02.dat                 Figure Friends Boy Torso with Sand Blue Jacket with Tan Lapels over Blue and White Shirt Pattern
21490.dat                      Figure Friends Cape Cloth Short with 2 Bottom Curves and 4 Heart Shaped Holes
21490c01.dat                   Figure Friends Cape Cloth Short with 2 Bottom Curves and 4 Heart Shaped Holes (Formed Shape 1)
21490c02.dat                   Figure Friends Cape Cloth Short with 2 Bottom Curves and 4 Heart Shaped Holes (Formed Shape 2)
96482.dat                      Figure Friends Comb with Handle and  3 Hearts
97784.dat                      Figure Friends Cupcake Case
97781.dat                      Figure Friends Cutlery Fork
97782.dat                      Figure Friends Cutlery Knife
34173.dat                      Figure Friends Cutlery Spoon
97785.dat                      Figure Friends Dish Rectangular
97783.dat                      Figure Friends Dish Round  2.7 x  2.7
92198p14.dat                   Figure Friends Female Head with Bright Light Orange Eyes, Open Mouth and Magenta Elves Tribal Pattern
92198p13.dat                   Figure Friends Female Head with Bright Light Orange Eyes, Wide Open Smile and Magenta Elves Tribal Pattern
92198p03.dat                   Figure Friends Female Head with Brown Eyes, Bright Pink Lips and Open Mouth Pattern
92198p07.dat                   Figure Friends Female Head with Brown Eyes, Pink Lips and Closed Mouth Pattern
92198p04.dat                   Figure Friends Female Head with Green Eyes, Light Pink Lips and Open Mouth Pattern
92198p02.dat                   Figure Friends Female Head with Green Eyes, Pink Lips and Closed Mouth Pattern
92198p12.dat                   Figure Friends Female Head with Light Blue Eyes, Dark Pink Lips and Open Mouth Pattern
92198p01.dat                   Figure Friends Female Head with Light Blue Eyes, Pink Lips and Open Mouth Pattern
92198p06.dat                   Figure Friends Female Head with Light Blue Eyes with Eye Shadow, Red Lips and Closed Mouth Pattern
92198p05.dat                   Figure Friends Female Head with Light Brown Eyes, Freckles, Pink Lips and Closed Mouth Pattern
92198p08.dat                   Figure Friends Female Head with Light Brown Eyes, Pink Lips and Closed Mouth Pattern
92244.dat                      Figure Friends Female Left Arm
92244p02.dat                   Figure Friends Female Left Arm Light Nougat with Short Sleeve and Glove Pattern
92244p04.dat                   Figure Friends Female Left Arm with Black Sleeve Pattern
92244p09.dat                   Figure Friends Female Left Arm with Bright Green Short Sleeve Pattern
92244p06.dat                   Figure Friends Female Left Arm with Bright Light Blue Short Sleeve Pattern
92244p0a.dat                   Figure Friends Female Left Arm with Coral Short Sleeve Pattern
92244p14.dat                   Figure Friends Female Left Arm with Dark Azure Water Symbol Tattoo Pattern
92244p12.dat                   Figure Friends Female Left Arm with Gold Flame and Swirls Tattoo Pattern
92244p03.dat                   Figure Friends Female Left Arm with Lavender Short Sleeve Pattern
92244p10.dat                   Figure Friends Female Left Arm with Lavender Sleeve Pattern
92244p05.dat                   Figure Friends Female Left Arm with Light Aqua Sleeve Pattern
92244p11.dat                   Figure Friends Female Left Arm with Magenta Flame Tattoo Pattern
92244p07.dat                   Figure Friends Female Left Arm with Medium Lavender Sleeve Pattern
92244p13.dat                   Figure Friends Female Left Arm with Reddish Brown Leaf Tattoo Pattern
92244p08.dat                   Figure Friends Female Left Arm with Red Sleeve Pattern
92244p15.dat                   Figure Friends Female Left Arm with Sand Blue Sleeve Pattern
92244p01.dat                   Figure Friends Female Left Arm with White Sleeve Pattern
92245.dat                      Figure Friends Female Right Arm
92245p02.dat                   Figure Friends Female Right Arm Light Nougat with Short Sleeve and Glove Pattern
92245p04.dat                   Figure Friends Female Right Arm with Black Sleeve Pattern
92245p09.dat                   Figure Friends Female Right Arm with Bright Green Short Sleeve Pattern
92245p06.dat                   Figure Friends Female Right Arm with Bright Light Blue Short Sleeve Pattern
92245p0a.dat                   Figure Friends Female Right Arm with Coral Short Sleeve Pattern
92245p03.dat                   Figure Friends Female Right Arm with Lavender Short Sleeve Pattern
92245p10.dat                   Figure Friends Female Right Arm with Lavender Sleeve Pattern
92245p05.dat                   Figure Friends Female Right Arm with Light Aqua Sleeve Pattern
92245p07.dat                   Figure Friends Female Right Arm with Medium Lavender Sleeve Pattern
92245p08.dat                   Figure Friends Female Right Arm with Red Sleeve Pattern
92245p15.dat                   Figure Friends Female Right Arm with Sand Blue Sleeve Pattern
92245p01.dat                   Figure Friends Female Right Arm with White Sleeve Pattern
97790.dat                      Figure Friends Frying Pan
73141.dat                      Figure Friends Girl Torso Dual Mould with Arms
1006030.dat                    Figure Friends Girl Torso Dual Mould without Pattern
92456.dat                      Figure Friends Girl Torso with Arms
92456p07.dat                   Figure Friends Girl Torso with Arms with Black Jacket Formal with Bow Tie and Cummerband Pattern
92456p0b.dat                   Figure Friends Girl Torso with Arms with Black Jacket with White Blouse Pattern
92456p23.dat                   Figure Friends Girl Torso with Arms with Blue and Dark Azure Strapless Top with Light Aqua Trim and Silver Necklace Pattern
92456p00.dat                   Figure Friends Girl Torso with Arms with Blue Bikini Top With Whistle Pattern
92456p0p.dat                   Figure Friends Girl Torso with Arms with Bright Light Orange Halter Top with Magenta and White Pattern
92456p16.dat                   Figure Friends Girl Torso with Arms with Bright Light Orange Top with Music Notes and Circles Pattern
92456p0e.dat                   Figure Friends Girl Torso with Arms with Bright Light Orange Vest Top with Hearts Pattern
73141p01.dat                   Figure Friends Girl Torso with Arms with Bright Light Yellow Tank Top over Medium Lavender Sleeveless Shirt, Black and Coral Panels and Music Note Necklace Pattern
92456p0t.dat                   Figure Friends Girl Torso with Arms with Bright Pink Halter Top with Palm Tree, Waves and Flowers Pattern
92456p13.dat                   Figure Friends Girl Torso with Arms with Bright Pink Sleeveless Blouse Top with Open Collar and Button Pattern
73141p04.dat                   Figure Friends Girl Torso with Arms with Coral and Bright Light Orange Shirt, Dark Blue Trim and White Flower Pattern
92456p0q.dat                   Figure Friends Girl Torso with Arms with Dark Azure Bikini Top Pattern
92456p0o.dat                   Figure Friends Girl Torso with Arms with Dark Blue and White Halter Top with Flowers and Necklace Pattern
92456p02.dat                   Figure Friends Girl Torso with Arms with Dark Pink Vest Top with Hearts Pattern
92456p03.dat                   Figure Friends Girl Torso with Arms with Halter Neck Top with Music Notes and Butterfly Pattern
92456p0j.dat                   Figure Friends Girl Torso with Arms with Karate Top and Dark Blue Belt Pattern
92456p0w.dat                   Figure Friends Girl Torso with Arms with Lavender Jacket with Bright Light Blue Scarf Pattern
92456p0m.dat                   Figure Friends Girl Torso with Arms with Lavender Vest Top with Black and White Flowers Pattern
92456p04.dat                   Figure Friends Girl Torso with Arms with Lavender Vest Top with Flower Pattern
92456p18.dat                   Figure Friends Girl Torso with Arms with Light and Dark Pink Bikini Top Pattern
92456p12.dat                   Figure Friends Girl Torso with Arms with Light Aqua Blouse Top with Open Collar and Button Pattern
92456p0f.dat                   Figure Friends Girl Torso with Arms with Light Aqua Halter Neck Top with Paw Prints Pattern
92456p0g.dat                   Figure Friends Girl Torso with Arms with Light Aqua Long Vest Top with Star Pattern
92456p0c.dat                   Figure Friends Girl Torso with Arms with Light Aqua Sweater with Christmas Pattern
92456p0v.dat                   Figure Friends Girl Torso with Arms with Light Aqua Vest Top with Flower Pattern
92456p17.dat                   Figure Friends Girl Torso with Arms with Light Yellow Halter Top with Orange Flower Pattern
92456p0r.dat                   Figure Friends Girl Torso with Arms with Lime Bikini Top and Lei Pattern
92456p15.dat                   Figure Friends Girl Torso with Arms with Lime Vest Top with White Stripes, Magenta Dolphin and Starfish Pattern
92456p20.dat                   Figure Friends Girl Torso with Arms with Magenta and Bright Light Orange Strapless Top with Belt Pattern
92456p21.dat                   Figure Friends Girl Torso with Arms with Magenta and Bright Light Orange Top with Laces and Magenta Flame Trim Pattern
92456p0i.dat                   Figure Friends Girl Torso with Arms with Magenta and White Striped Bikini Top Pattern
92456p0k.dat                   Figure Friends Girl Torso with Arms with Magenta Top with Butterflies and Leaves Pattern
92456p0a.dat                   Figure Friends Girl Torso with Arms with Magenta Top with Floral Pattern
92456p08.dat                   Figure Friends Girl Torso with Arms with Medium Blue Top with Silver Stars and Scrolls Pattern
92456p05.dat                   Figure Friends Girl Torso with Arms with Medium Halter Top with Paw and Butterflies Pattern
92456p0h.dat                   Figure Friends Girl Torso with Arms with Medium Lavender Halter Top with Butterflies and Flower Pattern
92456p0z.dat                   Figure Friends Girl Torso with Arms with Medium Lavender Top with Bright Pink Lacing and Bow Pattern
92456p0d.dat                   Figure Friends Girl Torso with Arms with Red Top with Christmas Pattern
92456p0y.dat                   Figure Friends Girl Torso with Arms with Sand Green Vest Top with Flower and Butterfly Pattern
92456p09.dat                   Figure Friends Girl Torso with Arms with Violet and Medium Lavender Bikini Top Pattern
92456p19.dat                   Figure Friends Girl Torso with Arms with White Halter Top, Pink Outlined Stars Pattern
92456p01.dat                   Figure Friends Girl Torso with Arms with White Halter Top, Pink Stars Pattern
92456p0n.dat                   Figure Friends Girl Torso with Arms with White Jacket with Buttons and Dark Red Scarf Pattern
92456p14.dat                   Figure Friends Girl Torso with Arms with White Open Jacket with Belt over Magenta Shirt Pattern
92456p10.dat                   Figure Friends Girl Torso with Arms with White Plaid Button Top over Lavender Shirt Pattern
92456p0l.dat                   Figure Friends Girl Torso with Arms with White Sleeveless One Strap Top with Metallic Silver Dots and Magenta Star Pattern
92456p0u.dat                   Figure Friends Girl Torso with Arms with White Soccer Jersey with Number "7" Pattern
92456p0x.dat                   Figure Friends Girl Torso with Arms with White Sweater Fair Isle with Red Moose Pattern
92456p22.dat                   Figure Friends Girl Torso with Arms with White Top with Dark Blue Stripes and Necklace Pattern
92456p11.dat                   Figure Friends Girl Torso with Arms with White Vest Top with Light Pink and Black Flowers Pattern
92456p0s.dat                   Figure Friends Girl Torso with Arms with White Vest Top with Magenta Necklace Pattern
92456p06.dat                   Figure Friends Girl Torso with Arms with White Vest Top with Squares Pattern
92241p07.dat                   Figure Friends Girl Torso with Black Jacket Formal with Bow Tie and Cummerband Pattern
92241p0b.dat                   Figure Friends Girl Torso with Black Jacket with White Blouse Pattern
92241p23.dat                   Figure Friends Girl Torso with Blue and Dark Azure Strapless Top with Light Aqua Trim and Silver Necklace Pattern
92241p00.dat                   Figure Friends Girl Torso with Blue Bikini Top With Whistle Pattern
92241p0p.dat                   Figure Friends Girl Torso with Bright Light Orange Halter Top with Magenta and White Pattern
92241p16.dat                   Figure Friends Girl Torso with Bright Light Orange Top with Music Notes and Circles Pattern
92241p0e.dat                   Figure Friends Girl Torso with Bright Light Orange Vest Top with Hearts Pattern
92241p13.dat                   Figure Friends Girl Torso with Bright Pink Blouse Top with Open Collar and Button Pattern
92241p0t.dat                   Figure Friends Girl Torso with Bright Pink Halter Top with Palm Tree, Waves and Flowers Pattern
92241p0q.dat                   Figure Friends Girl Torso with Dark Azure Bikini Top Pattern
92241p0o.dat                   Figure Friends Girl Torso with Dark Blue and White Halter Top with Flowers and Necklace Pattern
92241p02.dat                   Figure Friends Girl Torso with Dark Pink Vest Top with Hearts Pattern
1006030p01.dat                 Figure Friends Girl Torso with Dark Turquoise Jacket with Tan Triangles over Dark Blue Shirt Pattern
92241p03.dat                   Figure Friends Girl Torso with Halter Neck Top with Music Notes and Butterfly Pattern
92241p0j.dat                   Figure Friends Girl Torso with Karate Top and Dark Blue Belt Pattern
92241p0w.dat                   Figure Friends Girl Torso with Lavender Jacket with Bright Light Blue Scarf Pattern
92241p0m.dat                   Figure Friends Girl Torso with Lavender Vest Top with Black and White Flowers Pattern
92241p04.dat                   Figure Friends Girl Torso with Lavender Vest Top with Flower Pattern
100811.dat                     Figure Friends Girl Torso with Left Limb Reduction
100811p01.dat                  Figure Friends Girl Torso with Left Limb Reduction with Dark Turquoise Jacket with Tan Triangles over Dark Blue Shirt Pattern
92241p18.dat                   Figure Friends Girl Torso with Light and Dark Pink Bikini Top Pattern
92241p12.dat                   Figure Friends Girl Torso with Light Aqua Blouse Top with Open Collar and Button Pattern
92241p0f.dat                   Figure Friends Girl Torso with Light Aqua Halter Neck Top with Paw Prints Pattern
92241p0g.dat                   Figure Friends Girl Torso with Light Aqua Long Vest Top with Star Pattern
92241p0c.dat                   Figure Friends Girl Torso with Light Aqua Sweater with Christmas Pattern
92241p0v.dat                   Figure Friends Girl Torso with Light Aqua Vest Top with Flower Pattern
92241p17.dat                   Figure Friends Girl Torso with Light Yellow Halter Top with Orange Flower Pattern
92241p0r.dat                   Figure Friends Girl Torso with Lime Bikini Top and Lei Pattern
92241p15.dat                   Figure Friends Girl Torso with Lime Vest Top with White Stripes, Magenta Dolphin and Starfish Pattern
92241p20.dat                   Figure Friends Girl Torso with Magenta and Bright Light Orange Strapless Top with Belt Pattern
92241p21.dat                   Figure Friends Girl Torso with Magenta and Bright Light Orange Top with Laces and Magenta Flame Trim Pattern
92241p0i.dat                   Figure Friends Girl Torso with Magenta and White Striped Bikini Top Pattern
92241p0k.dat                   Figure Friends Girl Torso with Magenta Top with Butterflies and Leaves Pattern
92241p0a.dat                   Figure Friends Girl Torso with Magenta Top with Floral Pattern
92241p1a.dat                   Figure Friends Girl Torso with Medium Azure Halter Top Pattern
92241p05.dat                   Figure Friends Girl Torso with Medium Blue Halter Top with Paw and Butterflies Pattern
92241p08.dat                   Figure Friends Girl Torso with Medium Blue Top with Silver Stars and Scrolls Pattern
92241p0h.dat                   Figure Friends Girl Torso with Medium Lavender Halter Top with Butterflies and Flower Pattern
92241p0z.dat                   Figure Friends Girl Torso with Medium Lavender Top with Bright Pink Lacing and Bow Pattern
92241.dat                      Figure Friends Girl Torso without Pattern
92241p0d.dat                   Figure Friends Girl Torso with Red Top with Christmas Pattern
92241p0y.dat                   Figure Friends Girl Torso with Sand Green Vest Top with Flower and Butterfly Pattern
92241p09.dat                   Figure Friends Girl Torso with Violet and Medium Lavender Bikini Top Pattern
92241p01.dat                   Figure Friends Girl Torso with White Halter Top, Magenta and Dark Pink Stars Pattern
92241p19.dat                   Figure Friends Girl Torso with White Halter Top, Pink Outlined Stars Pattern
92241p0n.dat                   Figure Friends Girl Torso with White Jacket with Buttons and Dark Red Scarf Pattern
92241p14.dat                   Figure Friends Girl Torso with White Open Jacket with Belt over Magenta Shirt Pattern
92241p10.dat                   Figure Friends Girl Torso with White Plaid Button Top over Lavender Shirt Pattern
92241p0l.dat                   Figure Friends Girl Torso with White Sleeveless One Strap Top with Metallic Silver Dots and Magenta Star Pattern
92241p0u.dat                   Figure Friends Girl Torso with White Soccer Jersey with Number "7" Pattern
92241p0x.dat                   Figure Friends Girl Torso with White Sweater Fair Isle with Red Moose Pattern
92241p22.dat                   Figure Friends Girl Torso with White Top with Dark Blue Stripes and Necklace Pattern
92241p11.dat                   Figure Friends Girl Torso with White Vest Top with Light Pink and Black Flowers Pattern
92241p0s.dat                   Figure Friends Girl Torso with White Vest Top with Magenta Necklace Pattern
92241p06.dat                   Figure Friends Girl Torso with White Vest Top with Squares Pattern
1006030p02.dat                 Figure Friends Girl with Bright Light Yellow Tank Top over Medium Lavender Sleeveless Shirt, Black and Coral Panels and Music Note Necklace Pattern
1006030p04.dat                 Figure Friends Girl with Coral and Bright Light Orange Shirt, Dark Blue Trim and White Flower Pattern
92198c01.dat                   Figure Friends Girl/Woman Template
96486.dat                      Figure Friends Glasses Heart Shaped with Pin
96490.dat                      Figure Friends Glasses Oval Shaped with Pin
96480.dat                      Figure Friends Hair Brush with Heart on Reverse
94717.dat                      Figure Friends Hair Decoration, Bow
11618.dat                      Figure Friends Hair Decoration, Bow with Heart, Long Ribbon with Pin
94725.dat                      Figure Friends Hair Decoration, Bow with Heart with Pin
96479.dat                      Figure Friends Hair Decoration Bow with Pin
96481.dat                      Figure Friends Hair Decoration Butterfly with Pin
96485.dat                      Figure Friends Hair Decoration, Heart with Pin
96489.dat                      Figure Friends Hair Decoration, Star with Pin
96484.dat                      Figure Friends Hair Dryer
3013.dat                       Figure Friends Hair Long, Left Side Part and High Bangs, Hole on Top and Left
2645.dat                       Figure Friends Hair Long Parted on Side, Swept Back over Forehead with  1 Pin Hole
92255.dat                      Figure Friends Hair Long Straight
92256.dat                      Figure Friends Hair Long Wavy
92258.dat                      Figure Friends Hair Long Wavy Partially Tied Back
93352.dat                      Figure Friends Hair Long with Curls
92257.dat                      Figure Friends Hair Long with Ponytail and Side Bangs
11605.dat                      Figure Friends Hair Long with Ponytail French Braided with  1 Pin Holes
15675.dat                      Figure Friends Hair Long with Ponytail French Braided with  3 Pin Holes
92254p01.dat                   Figure Friends Hair Long with Ponytail, Side Bangs and Black Horse Riding Helmet Pattern
15284p01.dat                   Figure Friends Hair Long with Ponytail, Side Bangs and Dark Pink Sun Visor Pattern
92254.dat                      Figure Friends Hair Long with Ponytail, Side Bangs and Horse Riding Helmet
92254p02.dat                   Figure Friends Hair Long with Ponytail, Side Bangs and Magenta Horse Riding Helmet Pattern
15284.dat                      Figure Friends Hair Long with Ponytail, Side Bangs and Sun Visor
92259.dat                      Figure Friends Hair Short, Bob Cut
15677.dat                      Figure Friends Hair Wavy with Curls and  2 Pinholes
15673.dat                      Figure Friends Hair with Top Knot Bun and Hair Band
15673p01.dat                   Figure Friends Hair with Top Knot Bun and Medium Blue Hair Band Pattern
15673p02.dat                   Figure Friends Hair with Top Knot Bun and Yellowish Green Hair Band Pattern
93091p01.dat                   Figure Friends Handbag with Metallic Silver Zipper and Medium Lavender Side Pattern
93091.dat                      Figure Friends Handbag with Zipper
97793.dat                      Figure Friends Hand-held Food Mixer
96488.dat                      Figure Friends Hand Mirror with Heart on Reverse
96488d01.dat                   Figure Friends Hand Mirror with Heart on Reverse with Chrome Silver Mirror Sticker
92198p11.dat                   Figure Friends Head with Green Eyes, Glasses, Orange Lips and Closed Mouth Pattern
92198p15.dat                   Figure Friends Head with Green Eyes, Nougat Lips, Freckles and Closed Mouth Pattern
92198p16.dat                   Figure Friends Head with Green Eyes, Nougat Lips, Freckles and Open Mouth Smile Pattern
92198p17.dat                   Figure Friends Head with Medium Azure Eyes and Elves Tribal Pattern
92198.dat                      Figure Friends Head without Pattern
2241p04.dat                    Figure Friends Hip And Legs with Short Skirt with Medium Brown Legs and Metallic Pink Ankle and Foot Strap Sandals Pattern
2241p03.dat                    Figure Friends Hip And Legs with Short Skirt with Medium Nougat Legs and Gold Ankle and Foot Strap Sandals Pattern
92248.dat                      Figure Friends Hips
16530.dat                      Figure Friends Hips and Legs Mermaid Tail
16530p01.dat                   Figure Friends Hips and Legs Mermaid Tail with Light Lime Tip Pattern
16530p02.dat                   Figure Friends Hips and Legs Mermaid Tail with Light Pink Tip Pattern
20379.dat                      Figure Friends Hips and Legs with Asymmetrical Layered Skirt
20379p02.dat                   Figure Friends Hips and Legs with Asymmetrical Layered Skirt with Bright Light Yellow Ruffle and Medium Nougat Legs Pattern
20379p03.dat                   Figure Friends Hips and Legs with Asymmetrical Layered Skirt with Bright Light Yellow Ruffle and Medium Nougat Legs Pattern
20379p04.dat                   Figure Friends Hips and Legs with Asymmetrical Layered Skirt with Gold Ruffle, Dark Red Legs and Dark Brown Boots Pattern
20379p01.dat                   Figure Friends Hips and Legs with Asymmetrical Layered Skirt with Medium Lavender Ruffle, Light Nougat Legs and Dark Purple Sandals Pattern
20381.dat                      Figure Friends Hips and Legs with Asymmetric Layered Skirt Short
20381p02.dat                   Figure Friends Hips and Legs with Asymmetric Layered Skirt Short with Magenta Ruffle, Medium Nougat Legs and Magenta Flame Sandals Pattern
20381p01.dat                   Figure Friends Hips and Legs with Asymmetric Layered Skirt Short with Medium Orange Ruffle, Medium Nougat Legs and Ornamented Gold Sandals Pattern
19193.dat                      Figure Friends Hips and Legs with Baggy Trousers
19193p04.dat                   Figure Friends Hips and Legs with Baggy Trousers with Copper Shoes Pattern
19193p02.dat                   Figure Friends Hips and Legs with Baggy Trousers with Dark Red Shoes Pattern
19193p05.dat                   Figure Friends Hips and Legs with Baggy Trousers with Filigree and Pearl Gold Shoes Pattern
35608p05.dat                   Figure Friends Hips and Legs with Baggy Trousers with Filigree and Pearl Gold Shoes Pattern
19193p01.dat                   Figure Friends Hips and Legs with Baggy Trousers with Light Aqua Shoes Pattern
19193p03.dat                   Figure Friends Hips and Legs with Baggy Trousers with Pearl Gold Shoes Pattern
101117.dat                     Figure Friends Hips and Legs with Bell-Bottoms Pants
101117p02.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants with Black Shoes with White Soles Pattern
101117p01.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants  with Dark Blue Shoes Pattern
101117p04.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants with Dark Red Shoes Pattern
101117p07.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants with Dark Red Shoes with White Soles Pattern
101117p03.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants with Medium Lavender Shoes with White Soles Pattern
101117p05.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants with Medium Nougat Shoes with Bright Light Yellow Soles Pattern
101117p06.dat                  Figure Friends Hips and Legs with Bell-Bottoms Pants with Orange Shoes with White Soles Pattern
26490.dat                      Figure Friends Hips and Legs with Cargo Pants (Thick Hinge)
2268.dat                       Figure Friends Hips and Legs with Cargo Pants (Thin Hinge)
26490p03.dat                   Figure Friends Hips and Legs with Cargo Pants with Light Nougat Legs and Dark Blue Sneakers Pattern
26490p05.dat                   Figure Friends Hips and Legs with Cargo Pants with Light Nougat Legs and Dark Blue V-Shaped Straps Sandals Pattern
26490p01.dat                   Figure Friends Hips and Legs with Cargo Pants with Light Nougat Legs and White Laces and Sole Sneakers Pattern
26490p02.dat                   Figure Friends Hips and Legs with Cargo Pants with Medium Nougat Legs and White Laces and Sole Sneakers Pattern
2268p03.dat                    Figure Friends Hips and Legs with Cargo Pants with Medium Nougat Legs, Tan Shoes with Dark Blue Laces and Soles Pattern
2268p04.dat                    Figure Friends Hips and Legs with Cargo Pants with Medium Tan Legs and Dark Blue V-Shaped Straps Sandals Pattern
2268p01.dat                    Figure Friends Hips and Legs with Cargo Pants with Medium Tan Legs, Medium Azure Shoes with White Laces and Soles Pattern
26490p04.dat                   Figure Friends Hips and Legs with Cargo Pants with Nougat Legs and White Laces Blue Sneakers Pattern
2268p02.dat                    Figure Friends Hips and Legs with Cargo Pants with Reddish Brown Legs, Dark Blue Shoes with Light Bluish Grey Laces and Soles Pattern
92819.dat                      Figure Friends Hips and Legs with Cropped Trousers
92819p06.dat                   Figure Friends Hips and Legs with Cropped Trousers, Light Nougat Legs and Brown Shoes with  2 Crossed Laces Pattern
92819p05.dat                   Figure Friends Hips and Legs with Cropped Trousers, Light Nougat Legs and Shoes with Dark Blue Soles and Stripe Pattern
92819p03.dat                   Figure Friends Hips and Legs with Cropped Trousers, Light Nougat Legs and Shoes with White Tops and Bright Light Blue Laces Pattern
92819p04.dat                   Figure Friends Hips and Legs with Cropped Trousers, Medium Nougat Legs and White Shoes Pattern
2246.dat                       Figure Friends Hips and Legs with Cropped Trousers (Thin Hinge)
92819p01.dat                   Figure Friends Hips and Legs with Cropped Trousers with Dark Pink Butterfly, Light Nougat Legs and Medium Lavender Sandals Pattern
92819p02.dat                   Figure Friends Hips and Legs with Cropped Trousers with Medium Lavender Flower, Medium Nougat Legs and Bright Pink Sandals Pattern
2246p01.dat                    Figure Friends Hips and Legs with Cropped Trousers with Reddish Brown Boots Pattern
101347.dat                     Figure Friends Hips and Legs with Folded Trousers (Thick Hinge)
101347p01.dat                  Figure Friends Hips and Legs with Folded Trousers with Medium Tan Feet and Black Ballerina Shoes with White Sole Pattern
101347p04.dat                  Figure Friends Hips and Legs with Folded Trousers with Medium Tan Feet and Black Shoes with White Laces and Sole Pattern
101347p02.dat                  Figure Friends Hips and Legs with Folded Trousers with Nougat Feet and Black Ballerina Shoes with White Sole Pattern
101347p08.dat                  Figure Friends Hips and Legs with Folded Trousers with Nougat Feet and Black Shoes with White Laces and Sole Pattern
101347p05.dat                  Figure Friends Hips and Legs with Folded Trousers with White Feet and Dark Blue Shoes with White Laces and Light Bluish Grey Sole Pattern
101347p06.dat                  Figure Friends Hips and Legs with Folded Trousers with white Feet and Medium Lavender Shoes with White Laces and Sole Pattern
101347p07.dat                  Figure Friends Hips and Legs with Folded Trousers with White Feet and Metallic Pink Sandals Pattern
15875.dat                      Figure Friends Hips and Legs with Full Length Skirt
36187.dat                      Figure Friends Hips and Legs with Full Length Skirt (Thin Hinge)
15875p01.dat                   Figure Friends Hips and Legs with Full Length Skirt with Bright Light Blue Sides and Middle Triangle with Silver Stars Pattern
92818.dat                      Figure Friends Hips and Legs with Layered Skirt
92818p02.dat                   Figure Friends Hips and Legs with Layered Skirt with Bright Pink Legs, and White Boots Pattern
92818p04.dat                   Figure Friends Hips and Legs with Layered Skirt with Light Nougat Legs and Medium Lavender Shoes with Ankle Straps Pattern
92818p08.dat                   Figure Friends Hips and Legs with Layered Skirt with Light Nougat Legs and White Shoes Pattern
92818p01.dat                   Figure Friends Hips and Legs with Layered Skirt with Light Nougat Legs, Shoes with White Tops and Laces Pattern
92818p07.dat                   Figure Friends Hips and Legs with Layered Skirt with Medium Nougat and Magenta Crossed Straps Sandals Pattern
92818p05.dat                   Figure Friends Hips and Legs with Layered Skirt with Medium Nougat Legs and Magenta Shoes with Ankle Straps Pattern
92818p03.dat                   Figure Friends Hips and Legs with Layered Skirt with White Legs, and Dark Blue Boots with White Laces Pattern
92818p06.dat                   Figure Friends Hips and Legs with Layered Skirt with White Legs and Magenta Shoes with Ankle Straps Pattern
92817.dat                      Figure Friends Hips and Legs with Long Skirt
92817p02.dat                   Figure Friends Hips and Legs with Long Skirt with Light Nougat Legs and Medium Lavender Shoes Pattern
92817p01.dat                   Figure Friends Hips and Legs with Long Skirt with Light Nougat Legs and Open Toe Shoes Pattern
101347p03.dat                  Figure Friends Hips and Legs with Nougat Feet and Dark Turquoise Shoes with White Laces and Sole Pattern
92820.dat                      Figure Friends Hips and Legs with Pleated Skirt
92820p02.dat                   Figure Friends Hips and Legs with Pleated Skirt with Black Boots, White Fur Border Pattern
92820p07.dat                   Figure Friends Hips and Legs with Pleated Skirt with Light Nougat Legs and Magenta Shoes Pattern
92820p03.dat                   Figure Friends Hips and Legs with Pleated Skirt with Light Nougat Legs and Magenta Shoes with Ankle Straps Pattern
92820p01.dat                   Figure Friends Hips and Legs with Pleated Skirt with Light Nougat Legs and Pink Crossed Straps Sandals Pattern
